Datum,Zahl 1,Zahl 2,Zahl 3,Zahl 4,Zahl 5,Zahl 6,Zusatzzahl,Gesamt - Ausbezahlt,6er - Gewinner,6er - Betrag,6er - Ausbezahlt,5er ZZ - Gewinner,5er ZZ - Betrag,5er ZZ - Ausbezahlt,5er - Gewinner,5er - Betrag,5er - Ausbezahlt,4er ZZ - Gewinner,4er ZZ - Betrag,4er ZZ - Ausbezahlt,4er - Gewinner,4er - Betrag,4er - Ausbezahlt,3er ZZ - Gewinner,3er ZZ - Betrag,3er ZZ - Ausbezahlt,3er - Gewinner,3er - Betrag,3er - Ausbezahlt,ZZ - Gewinner,ZZ - Betrag,ZZ - Ausbezahlt,6er - Pott Start,6er - Pott Bonus
2024-02-28,10,22,24,28,34,43,42,3683278.2,1,2415635.8,2415635.8,4,29784.9,119139.6,80,1544.4,123552.0,225,176.5,39712.5,4738,48.8,231214.4,5489,18.0,98802.0,69885,5.7,398344.5,197598,1.3,256877.4,1533118.6,882517.2
2024-02-25,3,8,10,14,29,35,45,1288556.1,DJP,1533118.6,0.0,3,40192.7,120578.1,96,1302.5,125040.0,230,174.7,40181.0,4744,49.4,234353.6,5763,17.4,100276.2,77306,5.2,401991.2,204720,1.3,266136.0,639945.4,893173.2
2024-02-21,7,8,21,23,26,40,30,915375.7,JP,639945.4,0.0,1,86392.6,86392.6,65,1378.3,89589.5,193,149.2,28795.6,3502,47.9,167745.8,4634,15.5,71827.0,56029,5.1,285747.9,142521,1.3,185277.3,,639945.4
2024-02-18,13,18,23,29,30,42,19,2244579.4,1,1000000.0,1000000.0,6,39655.8,237934.8,78,1348.0,105144.0,192,176.0,33792.0,3433,57.4,197054.2,5148,16.4,84427.2,56849,5.9,335409.1,192937,1.3,250818.1,,1000000.0
2024-02-14,2,21,22,27,34,37,25,4452619.8,1,3121348.4,3121348.4,JP,136540.4,0.0,91,1556.0,141596.0,249,182.7,45492.3,4619,57.4,265130.6,6150,18.5,113775.0,80951,5.6,453325.6,239963,1.3,311951.9,2109938.0,1011410.4
2024-02-11,2,14,16,21,37,41,10,1135144.4,3JP,2109938.0,0.0,3,34107.2,102321.6,54,1965.0,106110.0,178,191.6,34104.8,3363,59.1,198753.3,4953,17.2,85191.6,56315,6.0,337890.0,208287,1.3,270773.1,1351998.2,757939.8
2024-02-09,2,3,8,20,21,31,35,977585.7,DJP,1351998.2,0.0,2,46240.8,92481.6,105,913.3,95896.5,154,200.1,30815.4,3945,45.5,179497.5,4038,19.0,76722.0,61648,5.0,308240.0,149179,1.3,193932.7,666948.2,685050.0
2024-02-07,3,4,20,37,40,42,8,996856.6,JP,666948.2,0.0,3,30012.6,90037.8,46,2029.8,93370.8,163,184.1,30008.3,2861,61.1,174807.1,4477,16.7,74765.9,49193,6.1,300077.3,179838,1.3,233789.4,,666948.2
2024-02-04,3,5,9,17,25,38,45,9044061.6,3,2174563.8,6523691.4,7,33710.0,235970.0,210,1165.2,244692.0,497,158.2,78625.4,9833,46.6,458217.8,11922,16.4,195520.8,156277,5.0,781385.0,404584,1.3,525959.2,4775762.1,-2601198.3
2024-01-31,17,21,22,28,35,36,37,1819679.0,5JP,4775762.1,0.0,4,42986.7,171946.8,114,1564.1,178307.4,320,179.1,57312.0,6164,54.2,334088.8,7697,18.6,143164.2,102391,5.6,573389.6,278054,1.3,361470.2,3502080.3,1273681.8
2024-01-28,9,17,26,28,31,41,13,1690898.9,4JP,3502080.3,0.0,8,19578.0,156624.0,132,1230.4,162412.8,390,133.8,52182.0,6146,49.5,304227.0,8385,15.5,129967.5,96972,5.4,523648.8,278336,1.3,361836.8,2341900.5,1160179.8
2024-01-24,4,8,14,16,35,42,25,1245567.2,3JP,2341900.5,0.0,6,19449.9,116699.4,71,1704.5,121019.5,208,187.0,38896.0,4584,49.5,226908.0,5553,17.5,97177.5,70362,5.5,386991.0,198366,1.3,257875.8,1477457.7,864442.8
2024-01-21,3,16,27,31,40,42,25,1415651.0,DJP,1477457.7,0.0,2,141120.7,282241.4,89,1361.3,121155.7,234,166.4,38937.6,4508,50.3,226752.4,5281,18.4,97170.4,70891,5.5,389900.5,199610,1.3,259493.0,612046.2,865411.5
2024-01-17,7,21,26,31,42,43,44,793919.1,JP,612046.2,0.0,DJP,165411.0,0.0,60,1428.1,85686.0,123,223.9,27539.7,3138,51.1,160351.8,3526,19.5,68757.0,51438,5.3,272621.4,137664,1.3,178963.2,,612046.2
2024-01-14,6,14,15,16,25,39,33,1813986.6,1,1000000.0,1000000.0,JP,82784.7,0.0,74,1160.1,85847.4,156,176.8,27580.8,2792,57.6,160819.2,4052,17.0,68884.0,47611,5.8,276143.8,149778,1.3,194711.4,,1000000.0
2024-01-12,4,7,8,18,31,42,43,1858357.0,1,1000000.0,1000000.0,2,40403.7,80807.4,45,1862.2,83799.0,136,198.0,26928.0,3418,45.9,156886.2,3511,19.1,67060.1,52766,5.1,269106.6,133669,1.3,173769.7,,1000000.0
2024-01-10,21,33,36,37,41,43,2,2108317.4,1,1000000.0,1000000.0,5,41221.5,206107.5,74,1240.0,91760.0,195,151.2,29484.0,2978,57.7,171830.6,3893,18.9,73577.7,49022,6.0,294132.0,185712,1.3,241425.6,,1000000.0
2024-01-07,1,9,14,15,20,35,3,2710761.0,2,761132.0,1522264.0,JP,117620.8,0.0,85,1435.0,121975.0,271,144.6,39186.6,4165,54.9,228658.5,6566,14.9,97833.4,67655,5.8,392399.0,237265,1.3,308444.5,650998.1,110133.9
2024-01-03,3,15,16,19,21,27,20,947701.5,JP,650998.1,0.0,3,29294.9,87884.7,69,1320.8,91135.2,175,167.3,29277.5,4082,41.8,170627.6,4241,17.2,72945.2,59771,4.9,292877.9,156118,1.3,202953.4,,650998.1
2023-12-31,4,11,12,22,40,41,9,7852443.4,1,5362714.1,5362714.1,7,32663.5,228644.5,174,1362.7,237109.8,489,155.8,76186.2,8606,51.6,444069.6,12476,15.2,189635.2,139606,5.4,753872.4,430932,1.3,560211.6,3669049.3,1693664.8
2023-12-27,17,27,30,32,37,44,41,1278549.9,4JP,3669049.3,0.0,4,30142.9,120571.6,103,1213.9,125031.7,242,166.0,40172.0,4776,49.0,234024.0,5851,17.1,100052.1,70320,5.7,400824.0,198365,1.3,257874.5,2775923.7,893125.6
2023-12-24,5,7,17,25,26,42,35,1725400.2,3JP,2775923.7,0.0,2,81580.0,163160.0,170,995.3,169201.0,384,141.6,54374.4,7996,39.6,316641.6,8462,16.0,135392.0,111631,4.8,535828.8,269848,1.3,350802.4,1567330.6,1208593.1
2023-12-20,2,14,27,34,35,38,39,1185800.6,DJP,1567330.6,0.0,1,109889.8,109889.8,79,1442.5,113957.5,190,192.7,36613.0,4036,52.9,213504.4,5161,17.7,91349.7,63035,5.8,365603.0,196064,1.3,254883.2,753331.4,813999.2
2023-12-17,3,9,31,32,36,38,6,1207563.5,JP,753331.4,0.0,1,190536.7,190536.7,68,1550.9,105461.2,200,169.4,33880.0,3302,59.8,197459.6,5360,15.8,84688.0,55897,6.0,335382.0,200120,1.3,260156.0,,753331.4
2023-12-13,1,3,10,11,30,44,39,1857107.1,2,500000.0,1000000.0,JP,88837.0,0.0,86,1071.2,92123.2,196,151.0,29596.0,4064,42.5,172720.0,4294,17.2,73856.8,63506,4.6,292127.6,151295,1.3,196683.5,,500000.0
2023-12-10,4,5,23,34,38,40,15,2690704.3,2,739309.7,1478619.4,3,37614.9,112844.7,79,1481.3,117022.7,212,177.4,37608.8,3680,59.6,219328.0,5598,16.7,93486.6,63673,5.9,375670.7,197018,1.3,256123.4,642730.9,96578.8
2023-12-06,1,2,15,22,30,43,24,937175.0,JP,642730.9,0.0,2,43384.3,86768.6,56,1606.8,89980.8,133,217.4,28914.2,2973,56.7,168569.1,3775,19.1,72102.5,50539,5.7,288072.3,155975,1.3,202767.5,,642730.9
2023-12-03,3,4,5,8,21,23,12,6532296.9,3,1557404.6,4672213.8,8,21779.3,174234.4,182,992.7,180671.4,627,92.6,58060.2,8602,39.3,338058.6,12899,11.2,144468.8,124412,4.6,572295.2,301765,1.3,392294.5,3381585.9,-1824181.3
2023-11-29,1,24,29,30,33,37,45,1562006.1,4JP,3381585.9,0.0,4,64951.4,259805.6,64,2180.9,139577.6,228,196.7,44847.6,4433,59.0,261547.0,6080,18.4,111872.0,74540,6.0,447240.0,228551,1.3,297116.3,2384579.4,997006.5
2023-11-26,10,12,16,21,39,41,1,1229973.7,3JP,2384579.4,0.0,JP,125209.8,0.0,84,1545.8,129847.2,235,177.6,41736.0,4312,56.4,243196.8,6294,16.5,103851.0,74281,5.6,415973.6,227207,1.3,295369.1,1457099.0,927480.4
